GeneID	RNA.seq_LADC55
POLR3C	1168
NUDT17	255
PIAS3	1181
ANKRD35	51
LOC107985593	7
ITGA10	110
PEX11B	1358
GNRHR2	370
RBM8A	2218
LIX1L-AS1	502
LIX1L	609
POLR3GL	1089
ANKRD34A	32
TXNIP	33517
HJV	0
RNVU1-6	0
LINC01719	58
NBPF10	1173
NOTCH2NLA	597
LOC105371254	18
NUDT4P2	402
SEC22B4P	213
PPIAL4H	0
LOC112268274	12
LOC100996756	61
LOC105371235	5
107985591	0
HYDIN2	34
NBPF12	875
LOC728989	2
105371231	4
PRKAB2	911
CHD1L	2094
PDIA3P1	1047
FMO5	8211
LINC00624	119
BCL9	960
ACP6	578
GJA5	820
GPR89B	801
PDZK1P1	14
LINC02804	32
PDE4DIPP1	3
NBPF11	819
LOC105371227	2
LOC101927468	2
LINC02806	15
LOC105371225	2
PDE4DIPP6	34
RNVU1-3	2
107985525	6
LINC01138	141
LOC105371224	88
NBPF14	1797
NOTCH2NLB	706
LOC105371223	18
NUDT4B	554
SEC22B3P	105
PDE4DIP	3404
LOC112268272	37
NBPF9	663
LOC101929790	1
LOC653513	179
SEC22B2P	164
NOTCH2NLC	445
NBPF19	1298
PPIAL4C	0
LINC00869	107
112268236	5
LOC644634	19
PDE4DIPP7	14
LOC105371406	6
FCGR1A	676
H2BC18	160
112268237	7
H3C13	11
H4C14	338
H3C14	18
H2AC18	761
H2BC20P	64
H2AC19	668
H3C15	17
112268238	546
H4C15	238
H2BC21	1264
H2AC20	31
H2AC21	2
BOLA1	386
