GeneID,Intensity.LUAD_phos_10N
RBMX;RBMXL1,133365429
COIL,0
EIF4A3,0
COL18A1,0
CAPG,0
CAP2,0
IL6ST,0
TXLNA,0
PSMB10,0
PBX2,0
MLH1,0
STAT3,0
USP8,0
PEX19,0
MDH1,127379829
ETV3,0
CASR,0
BCL6,0
CETN2,0
ETV6,0
NAA10,0
KDM5C,0
PPP1R2,0
PPP1R2;PPP1R2P3,0
MAP3K8,0
SLC19A1,0
PRKCI,0
ELK3,0
TMPO,575187919
STAT1,0
STAT5A;STAT5B,0
ARHGAP25,0
MTOR,0
PI4KA,0
EPS15,130044429
CASP2,0
RPS27,0
ABL2,0
FRK,0
HELZ,0
RBM34,0
WAS,0
HTT,0
SLC1A1,0
SLC1A4,0
MCAM,0
DCC,0
MATR3,429609489
GRK6;GRK5,0
GPD2,0
SSR1,0
RANBP1,0
PSMC4,0
NKX2-1,0
VDAC2,0
CBX5,0
USP5,0
MAP2K4,0
MKI67,0
PHKA2,0
PHKA1,0
NOP2,0
ATRX,127518329
CRK,0
BAG6,0
NSF,0
MAP2K3,0
MAP2K3;MAP2K6,0
RPS10;RPS10P5,0
NEDD4,0
YAP1,0
UTRN,139604829
IQGAP1,127816729
PLA2G4A,0
RAP1GAP,0
CAPZA2,0
CAPZB,127010189
SCTR,0
ZFP36L2,0
LIMS1,0
LEPR,0
RFX2,0
RFX5,0
ARCN1,0
IFNAR2,0
TRAPPC10,0
PRRC2A,0
GSS,0
PTDSS1,0
CSNK1D,0
CD97,0
MARCKSL1,0
PXN,135711329
NR2C2,128693729
SLC11A1,0
NASP,0
FMO5,0
FASN,0
FNTA,0
FNTB,0
CCT3,0
ARRB1,0
CYB561,0
CENPA,128475829
CENPF,0
PCYT1A,398692289
PCYT1A;PCYT1B,0
HARS2,0
MCM2,0
YLPM1,0
RBM25,274793859
NUMB,0
CLK1,127782129
CLK1;CLK4,0
CLK2,0
CLK3,0
PSEN1,0
EIF2B2,0
NUP153,0
RANBP2,392798189
RANBP2;RGPD4,0
RANBP2;RGPD4;RGPD3,0
RGS19,0
RGS3,0
PSEN2,0
TSC2,127581029
GSK3A;GSK3B,141787829
GSK3B,0
TAF6,126751079
NT5C2,0
SEPHS1,0
SEPP1,128361429
GMPS,0
LIG3,0
MRE11A,0
GNG10,0
EMD,0
SLC26A2,0
SERPINH1,0
PDLIM4,133387929
PEX5,0
ERF,0
VASP,0
DNM2,0
CDK7,0
HLCS,0
CDK9,0
LRBA,0
BCAM,128164129
CCT8,0
PAPOLA,0
FXR1,0
FXR2,0
RAB7A,134666829
RAB9A,0
RAB27A,0
SCNN1B,0
PLCD1,0
DAP,0
MMP15,0
NOVA1,0
ZNF84,0
SMARCA2,256564859
SMARCA4,0
BCAP31,0
P2RX1,0
TPMT,0
RENBP,127287399
MECP2,141080829
HCFC1,0
CAV2,489401689
ALDH3A2,0
HSD17B4,131089329
GPM6A,0
KCNQ1,0
CLCN7,0
VAMP7,0
RPS6KA3,0
RPS6KA3;RPS6KA6;RPS6KA1,0
PRELP,0
CCNH,0
MNAT1,0
NEK4,0
HNRNPA3,0
PGD,0
HNRNPM,0
KPNA2,0
NCBP2,0
JAK3,0
ARHGDIA,0
SLC7A2,0
AGFG1,130663229
HNRNPF,0
STAT2,0
MSH6,129031429
KIF11,0
VAV2,127824629
RBM5,131311529
EFNB2,0
DGKQ,0
CAPZA1,0
HMGA2,0
CRIP2,0
NUP98,258716609
BLVRA,0
SLC25A1,0
DAPK1,0
ARFIP2,0
ARFIP1,0
ACLY,127552429
MVD,0
COPA,0
RCAN1;RCAN3,0
SMTN,0
SLC16A1,0
IST1,0
SUB1,126992149
CLNS1A,127446329
HIRA,0
ATXN3,0
ATXN1,0
ATN1,0
TERF1,130829929
PMS2,0
USP14,128663229
PRKAA2,0
PRKAA2;PRKAA1,0
RAD23A,0
RAD23B,0
EPHB4,0
AK2,0
NAPA,0
AIF1,0
EIF5,0
SLC12A2,0
PSMD4,0
VCP,0
MFAP1,391261389
AQP4,305918659
NCKAP1L,0
MLLT4,140297829
MLLT6,0
ELL,0
BRPF1,0
NAP1L1,0
ADAR,0
LAMB2,0
CDH6,0
CDH11,146959829
FOXA1,0
TPD52,0
PKNOX1,0
HNRNPH2,0
EIF3B,0
FCGRT,0
MARS,0
AP1S2,0
HDAC4,0
CLDN12,0
CLDN18,268724259
BCAR1,0
STX17,0
SIK1;LOC102724428,0
RWDD2B,0
UBASH3A,0
WDR4,0
TBX4,0
EVC,0
KLF3,0
RAB38,0
CORO7,0
CLDN2,0
NUP107,0
SNX16,0
EEFSEC,0
SESN2,0
EPPK1,127512729
MLF1,0
FAM3B,0
EVA1C,0
GNG2,0
TPI1,270313169
SEC61B,0
PTEN,0
ACTB,0
ACTB;ACTA2;ACTG2;ACTG1;ACTC1;ACTA1,126922459
ACTB;ACTG1,127036429
ACTB;ACTG1;POTEE,0
RPS20,0
DSTN,0
RAB8A,129390429
RAB4B,0
RAB2A;RAB2B,0
CXCR4,0
RAB14,0
ZC3H6,0
ACTR2,0
RAP1B;RAP1A,0
MAX,0
RPS3A,0
MAGOH;MAGOHB,0
SEC61A1,0
STXBP1,0
COPZ1,0
UFM1,0
AP1S1,0
HNRNPK,128490929
RRAS2,151389829
RPS8,0
YWHAE,132334929
RPS29,0
TMSB4X,0
SELT,0
RAB11A,0
RAB11A;RAB11B,0
CNBP,0
ACTA2;ACTG2;ACTC1;ACTA1,0
RPS6,0
HIST1H4A,137495829
HIST1H2BC;H2BFS;HIST1H2BK;HIST1H2BM;HIST1H2BL;HIST1H2BO;HIST1H2BD;HIST1H2BH;HIST2H2BF;HIST3H2BB;HIST1H2BA;HIST1H2BN,0
HIST1H2BC;H2BFS;HIST1H2BK;HIST1H2BM;HIST1H2BL;HIST1H2BD;HIST1H2BH;HIST2H2BF;HIST1H2BN,0
RAB1A,0
RAN,0
GNB1,0
GNB2;GNB4,127134469
UBA52;RPS27A;UBB;UBC,0
TRA2B,341119659
TRA2B;TRA2A,0
AP2B1,0
VAMP2;VAMP1;VAMP3,0
VAMP2;VAMP3,128026229
GNAS,128938329
YWHAZ,0
SUMO1,0
SKP1,0
GNG5,128569229
TMSB10,0
YBX1,0
CSNK2B,0
TPM4,0
TUBA1B;TUBA4A,0
TUBA1B;TUBA1A;TUBA3E;TUBA1C,0
PAFAH1B2,0
HIST1H3A;H3F3A;HIST3H3;HIST2H3A,128486329
HIST1H3A;H3F3C;H3F3A;HIST3H3;HIST2H3A,0
HBB,0
NOMO3;NOMO2,0
HBG1,0
HBG1;HBG2,0
HBA1,0
CXADR,0
FAM193A,0
SH3BP2,0
NOP14,0
RBM6,127427089
EIF4G2,0
RPP30,0
GTF2I,0
SRPK2,0
PHC1,0
CCT2,0
BTN3A2,0
IRX5,0
IRX1,0
IRX3,0
ST5,0
PRKDC,0
ADAM17,131428629
ELF3,0
MAP1A,128241229
PHEX,0
NUCB2,0
BASP1,129181329
GPSM2,0
SSBP2,0
TMF1,133075729
MRPS36,0
ADAMTSL3,127338989
RPL24,0
CBX1,135837129
RPL19,0
SRSF3,0
MXRA7,0
H3F3A,0
FOXK1,127239989
PRR5,0
ZBED6,0
CCZ1;CCZ1B,0
DAB2,0
FBLN2,0
DGCR2,0
HSPG2,128610429
LRP2,0
ARHGAP4,0
EFNB1,0
FGD1,0
RBM10,0
ATP2C1,0
ATP8B2,0
TFAM,0
HDLBP,0
CDK16,0
CDK16;CDK17,126965199
CDK17,0
CDC42EP1,126713599
CLTC,0
HSF1,258438859
FKBP3,0
PLCB2,0
REEP5,0
HNRNPU,0
PLIN5,0
SET,129015029
SCN7A,276181929
FOXK2,0
RUNX1,0
RELB,0
AMPD2,0
ANK2,0
CAP1,0
FLI1,0
IFITM2,0
TFAP4,0
OTUD4,0
PFKP,0
XPC,0
CDR2,0
PLCB3,128034529
TAGLN,0
AKAP17A,130306329
MEF2A,0
GUCY1A3,0
