Ensembl_gene_id	p53_mock_2
ENSMUSG00000036353	263
ENSMUSG00000048621	1178
ENSMUSG00000029413	1522
ENSMUSG00000028825	149
ENSMUSG00000029372	123
ENSMUSG00000029752	131
ENSMUSG00000028937	166
ENSMUSG00000094051	167
ENSMUSG00000001228	932
ENSMUSG00000022018	106
ENSMUSG00000001467	1133
ENSMUSG00000026234	15097
ENSMUSG00000105277	41
ENSMUSG00000017737	96
ENSMUSG00000015316	2014
ENSMUSG00000079620	1
ENSMUSG00000078439	166
ENSMUSG00000020564	3121
ENSMUSG00000043419	73
ENSMUSG00000092618	184
ENSMUSG00000031467	505
ENSMUSG00000056917	14530
ENSMUSG00000062901	12470
ENSMUSG00000036002	656
ENSMUSG00000024790	196
ENSMUSG00000058230	2195
