Ensembl_gene_id	p53_IR_4
ENSMUSG00000106031	10
ENSMUSG00000032333	520
ENSMUSG00000074800	3633
ENSMUSG00000019822	338
ENSMUSG00000061947	89
ENSMUSG00000021947	87
ENSMUSG00000032834	3453
ENSMUSG00000022237	1101
ENSMUSG00000082423	244
ENSMUSG00000000934	915
ENSMUSG00000096883	225
ENSMUSG00000015222	28
ENSMUSG00000022651	32
ENSMUSG00000099517	190
ENSMUSG00000020154	74
ENSMUSG00000093392	0
ENSMUSG00000079299	83
ENSMUSG00000038776	6506
ENSMUSG00000083979	16
ENSMUSG00000025201	82
ENSMUSG00000056612	2207
ENSMUSG00000035776	83
ENSMUSG00000026399	14522
ENSMUSG00000081058	221
ENSMUSG00000030872	3257
ENSMUSG00000040592	16750
ENSMUSG00000064288	434
ENSMUSG00000005718	588
ENSMUSG00000057337	5240
ENSMUSG00000055538	786
ENSMUSG00000020176	175
ENSMUSG00000030465	809
ENSMUSG00000026923	7744
ENSMUSG00000020592	1423
ENSMUSG00000021636	273
ENSMUSG00000067341	1118
ENSMUSG00000059237	52
ENSMUSG00000030707	15072
ENSMUSG00000017390	39
ENSMUSG00000020681	84
ENSMUSG00000026712	2534
ENSMUSG00000053835	1570
ENSMUSG00000094862	27
ENSMUSG00000064317	855
ENSMUSG00000071036	294
ENSMUSG00000026904	29
ENSMUSG00000024030	1081
ENSMUSG00000080848	2537
ENSMUSG00000004100	4057
ENSMUSG00000039783	2698
ENSMUSG00000074211	2100
ENSMUSG00000028545	394
ENSMUSG00000037278	310
ENSMUSG00000079225	4928
ENSMUSG00000026880	206
ENSMUSG00000031639	215
ENSMUSG00000054520	1242
ENSMUSG00000021303	43
ENSMUSG00000028410	2495
ENSMUSG00000102984	126
ENSMUSG00000026048	4560
ENSMUSG00000022351	991
ENSMUSG00000082829	25
ENSMUSG00000004105	172
ENSMUSG00000084106	1967
ENSMUSG00000029299	1293
ENSMUSG00000026616	18970
ENSMUSG00000054932	33
ENSMUSG00000027381	7824
ENSMUSG00000006442	1084
ENSMUSG00000085603	512
ENSMUSG00000020648	486
ENSMUSG00000069310	450
ENSMUSG00000096802	32
ENSMUSG00000038421	4074
ENSMUSG00000038352	627
ENSMUSG00000036565	798
ENSMUSG00000100801	64
ENSMUSG00000022610	66
ENSMUSG00000029036	3713
ENSMUSG00000069267	491
ENSMUSG00000101439	156
ENSMUSG00000113508	833
ENSMUSG00000090173	81
ENSMUSG00000040350	21654
ENSMUSG00000040345	868
ENSMUSG00000069274	419
ENSMUSG00000027072	8
ENSMUSG00000038508	84
ENSMUSG00000094951	223
ENSMUSG00000047751	72
ENSMUSG00000020328	3717
ENSMUSG00000041064	11
ENSMUSG00000101279	52
ENSMUSG00000031626	99
ENSMUSG00000028460	53
ENSMUSG00000005667	491
ENSMUSG00000063015	1948
ENSMUSG00000104765	45
ENSMUSG00000048895	1677
ENSMUSG00000047735	9586
ENSMUSG00000068014	20
ENSMUSG00000035863	539
ENSMUSG00000026825	216
ENSMUSG00000051504	219
ENSMUSG00000058258	1022
ENSMUSG00000081665	353
ENSMUSG00000019359	28
ENSMUSG00000078816	64
ENSMUSG00000001416	7947
ENSMUSG00000045629	9
ENSMUSG00000045349	62
ENSMUSG00000024177	402
ENSMUSG00000052749	2339
ENSMUSG00000021838	39
ENSMUSG00000078300	22
ENSMUSG00000035279	25
ENSMUSG00000032101	67
ENSMUSG00000026594	10307
ENSMUSG00000001552	295
ENSMUSG00000053553	607
ENSMUSG00000043004	1192
ENSMUSG00000070337	76
ENSMUSG00000107724	231
ENSMUSG00000079224	169
ENSMUSG00000036853	216
ENSMUSG00000000811	496
ENSMUSG00000027076	553
ENSMUSG00000023243	285
ENSMUSG00000026170	255
ENSMUSG00000049314	8
ENSMUSG00000103735	12
ENSMUSG00000027187	1478
ENSMUSG00000019986	2590
ENSMUSG00000040809	79
ENSMUSG00000022750	2529
ENSMUSG00000094114	141
ENSMUSG00000032011	40
ENSMUSG00000047821	4
ENSMUSG00000071591	0
ENSMUSG00000030468	7153
ENSMUSG00000040276	214
ENSMUSG00000005043	620
ENSMUSG00000076525	45
ENSMUSG00000036353	87
ENSMUSG00000048621	327
ENSMUSG00000029413	384
ENSMUSG00000028825	28
ENSMUSG00000029372	46
ENSMUSG00000029752	69
ENSMUSG00000028937	364
ENSMUSG00000094051	84
ENSMUSG00000001228	552
ENSMUSG00000022018	183
ENSMUSG00000001467	1638
ENSMUSG00000026234	38857
ENSMUSG00000105277	6
ENSMUSG00000017737	37
ENSMUSG00000015316	679
ENSMUSG00000079620	4
ENSMUSG00000078439	64
ENSMUSG00000020564	916
ENSMUSG00000043419	31
ENSMUSG00000092618	73
ENSMUSG00000031467	2459
ENSMUSG00000056917	6938
ENSMUSG00000062901	4960
ENSMUSG00000036002	186
ENSMUSG00000024790	1139
ENSMUSG00000058230	11389
